Name,Industry,Sector,,Name,Industry
SAMCO ,PROPCON,PROP,,LHSC,#N/A
SC ,PROPCON,PROP,,LIT,#N/A
SENA ,PROPCON,PROP,,LOXLEY,#N/A
SF ,PROPCON,PROP,,LPH,#N/A
SIRI ,PROPCON,PROP,,LPN,#N/A
SPALI ,PROPCON,PROP,,LRH,#N/A
U ,PROPCON,PROP,,LST,AGRO
UV ,PROPCON,PROP,,LTX,#N/A
WHA ,PROPCON,PROP,,LUXF,#N/A
WIN ,PROPCON,PROP,,M,AGRO
AIMCG ,PROPCON,PF&REIT,,M-CHAI,#N/A
AIMIRT ,PROPCON,PF&REIT,,M-II,#N/A
AMATAR ,PROPCON,PF&REIT,,M-PAT,#N/A
B-WORK ,PROPCON,PF&REIT,,M-STOR,#N/A
BKKCP ,PROPCON,PF&REIT,,MACO,#N/A
BOFFICE ,PROPCON,PF&REIT,,MAJOR,#N/A
CPNCG ,PROPCON,PF&REIT,,MAKRO,#N/A
CPNREIT ,PROPCON,PF&REIT,,MALEE,AGRO
CPTGF ,PROPCON,PF&REIT,,MANRIN,#N/A
CRYSTAL ,PROPCON,PF&REIT,,MATCH,#N/A
CTARAF ,PROPCON,PF&REIT,,MAX,#N/A
DREIT ,PROPCON,PF&REIT,,MBAX,#N/A
ERWPF ,PROPCON,PF&REIT,,MBK,#N/A
FTREIT ,PROPCON,PF&REIT,,MBKET,#N/A
FUTUREPF ,PROPCON,PF&REIT,,MC,#N/A
GAHREIT ,PROPCON,PF&REIT,,MCOT,#N/A
GLANDRT ,PROPCON,PF&REIT,,MCS,#N/A
GOLDPF ,PROPCON,PF&REIT,,MDX,#N/A
GVREIT ,PROPCON,PF&REIT,,MEGA,#N/A
HPF ,PROPCON,PF&REIT,,META,#N/A
HREIT ,PROPCON,PF&REIT,,METCO,#N/A
IMPACT ,PROPCON,PF&REIT,,MFC,#N/A
KPNPF ,PROPCON,PF&REIT,,MFEC,#N/A
LHHOTEL ,PROPCON,PF&REIT,,MGT,#N/A
LHPF ,PROPCON,PF&REIT,,MIDA,#N/A
LHSC ,PROPCON,PF&REIT,,MILL,#N/A
LUXF ,PROPCON,PF&REIT,,MINT,AGRO
M-II ,PROPCON,PF&REIT,,MIT,#N/A
M-PAT ,PROPCON,PF&REIT,,MJD,#N/A
M-STOR ,PROPCON,PF&REIT,,MJLF,#N/A
MIPF ,PROPCON,PF&REIT,,MK,#N/A
MIT ,PROPCON,PF&REIT,,ML,#N/A
MJLF ,PROPCON,PF&REIT,,MM,#N/A
MNIT ,PROPCON,PF&REIT,,MNIT,#N/A
MNIT2 ,PROPCON,PF&REIT,,MNRF,#N/A
MNRF ,PROPCON,PF&REIT,,MODERN,#N/A
MONTRI ,PROPCON,PF&REIT,,MONO,#N/A
POPF ,PROPCON,PF&REIT,,MOONG,#N/A
PPF ,PROPCON,PF&REIT,,MPG,#N/A
QHHR ,PROPCON,PF&REIT,,MSC,#N/A
QHOP ,PROPCON,PF&REIT,,MTC,#N/A
QHPF ,PROPCON,PF&REIT,,MTI,#N/A
SBPF ,PROPCON,PF&REIT,,MVP,#N/A
SHREIT ,PROPCON,PF&REIT,,NBC,#N/A
SIRIP ,PROPCON,PF&REIT,,NCH,#N/A
SPF ,PROPCON,PF&REIT,,NCL,#N/A
SPRIME ,PROPCON,PF&REIT,,NDR,#N/A
SRIPANWA ,PROPCON,PF&REIT,,NEP,#N/A
SSPF ,PROPCON,PF&REIT,,NER,AGRO
SSTPF ,PROPCON,PF&REIT,,NETBAY,#N/A
SSTRT ,PROPCON,PF&REIT,,NEWS,#N/A
TIF1 ,PROPCON,PF&REIT,,NFC,#N/A
TLGF ,PROPCON,PF&REIT,,NINE,#N/A
TLHPF ,PROPCON,PF&REIT,,NNCL,#N/A
TNPF ,PROPCON,PF&REIT,,NOBLE,#N/A
TPRIME ,PROPCON,PF&REIT,,NOK,#N/A
TTLPF ,PROPCON,PF&REIT,,NPPG,#N/A
TU-PF ,PROPCON,PF&REIT,,NSI,#N/A
URBNPF ,PROPCON,PF&REIT,,NTV,#N/A
WHABT ,PROPCON,PF&REIT,,NUSA,#N/A
WHART ,PROPCON,PF&REIT,,NVD,#N/A
BJCHI ,PROPCON,CONS,,NWR,#N/A
BKD ,PROPCON,CONS,,NYT,#N/A
CK ,PROPCON,CONS,,OCEAN,#N/A
CNT ,PROPCON,CONS,,OGC,#N/A
EMC ,PROPCON,CONS,,OISHI,AGRO
ITD ,PROPCON,CONS,,ORI,#N/A
NWR ,PROPCON,CONS,,OSP,AGRO
PAE ,PROPCON,CONS,,OTO,#N/A
PLE ,PROPCON,CONS,,PACE,#N/A
PREB ,PROPCON,CONS,,PAF,#N/A
PYLON ,PROPCON,CONS,,PAP,#N/A
SEAFCO ,PROPCON,CONS,,PATO,#N/A
SQ ,PROPCON,CONS,,PB,AGRO
SRICHA ,PROPCON,CONS,,PCSGH,#N/A
STEC ,PROPCON,CONS,,PDG,#N/A
STPI ,PROPCON,CONS,,PDI,#N/A
SYNTEC ,PROPCON,CONS,,PDJ,#N/A
TPOLY ,PROPCON,CONS,,PE,#N/A
TRC ,PROPCON,CONS,,PERM,#N/A
TRITN ,PROPCON,CONS,,PF,#N/A
TTCL ,PROPCON,CONS,,PG,#N/A
UNIQ ,PROPCON,CONS,,PHOL,#N/A
7UP ,RESOURC,ENERG,,PICO,#N/A
ABPIF ,RESOURC,ENERG,,PIMO,#N/A
ACE ,RESOURC,ENERG,,PJW,#N/A
AI ,RESOURC,ENERG,,PK,#N/A
AKR ,RESOURC,ENERG,,PL,#N/A
BAFS ,RESOURC,ENERG,,PLANB,#N/A
BANPU ,RESOURC,ENERG,,PLANET,#N/A
BCP ,RESOURC,ENERG,,PLAT,#N/A
BCPG ,RESOURC,ENERG,,PLE,#N/A
BGRIM ,RESOURC,ENERG,,PM,AGRO
BPP ,RESOURC,ENERG,,PMTA,#N/A
BRRGIF ,RESOURC,ENERG,,POPF,#N/A
CKP ,RESOURC,ENERG,,PORT,#N/A
DEMCO ,RESOURC,ENERG,,POST,#N/A
EA ,RESOURC,ENERG,,PPF,#N/A
EASTW ,RESOURC,ENERG,,PPM,#N/A
EGATIF ,RESOURC,ENERG,,PPP,#N/A
EGCO ,RESOURC,ENERG,,PPPM,AGRO
ESSO ,RESOURC,ENERG,,PPS,#N/A
GLOW ,RESOURC,ENERG,,PR9,#N/A
GPSC ,RESOURC,ENERG,,PRAKIT,#N/A
GULF ,RESOURC,ENERG,,PREB,#N/A
GUNKUL ,RESOURC,ENERG,,PRECHA,#N/A
IFEC ,RESOURC,ENERG,,PRG,AGRO
IRPC ,RESOURC,ENERG,,PRIN,#N/A
LANNA ,RESOURC,ENERG,,PRINC,#N/A
MDX ,RESOURC,ENERG,,PRM,#N/A
PRIME ,RESOURC,ENERG,,PSH,#N/A
PTG ,RESOURC,ENERG,,PSL,#N/A
PTT ,RESOURC,ENERG,,PSTC,#N/A
PTTEP ,RESOURC,ENERG,,PT,#N/A
RATCH ,RESOURC,ENERG,,PTG,#N/A
RPC ,RESOURC,ENERG,,PTL,#N/A
SCG ,RESOURC,ENERG,,PTT,#N/A
SCI ,RESOURC,ENERG,,PTTEP,#N/A
SCN ,RESOURC,ENERG,,PTTGC,#N/A
SGP ,RESOURC,ENERG,,PYLON,#N/A
SKE ,RESOURC,ENERG,,Q-CON,#N/A
SOLAR ,RESOURC,ENERG,,QH,#N/A
SPCG ,RESOURC,ENERG,,QHHR,#N/A
SPRC ,RESOURC,ENERG,,QHOP,#N/A
SSP ,RESOURC,ENERG,,QHPF,#N/A
SUPER ,RESOURC,ENERG,,QLT,#N/A
SUPEREIF ,RESOURC,ENERG,,QTC,#N/A
SUSCO ,RESOURC,ENERG,,RAM,#N/A
TAE ,RESOURC,ENERG,,RATCH,#N/A
TCC ,RESOURC,ENERG,,RCI,#N/A
TOP ,RESOURC,ENERG,,RCL,#N/A
TPIPP ,RESOURC,ENERG,,RICHY,#N/A
TSE ,RESOURC,ENERG,,RJH,#N/A
TTW ,RESOURC,ENERG,,RML,#N/A
WHAUP ,RESOURC,ENERG,,ROBINS,#N/A
WP ,RESOURC,ENERG,,ROH,#N/A
PDI ,RESOURC,MINE,,ROJNA,#N/A
THL ,RESOURC,MINE,,RP,#N/A
BEAUTY ,SERVICE,COMM,,RPC,#N/A
BIG ,SERVICE,COMM,,RPH,#N/A
BJC ,SERVICE,COMM,,RS,#N/A
COL ,SERVICE,COMM,,RSP,#N/A
COM7 ,SERVICE,COMM,,RWI,#N/A
CPALL ,SERVICE,COMM,,S,#N/A
CPW ,SERVICE,COMM,,S11,#N/A
CSS ,SERVICE,COMM,,SABINA,#N/A
DOHOME ,SERVICE,COMM,,SALEE,#N/A
FN ,SERVICE,COMM,,SAM,#N/A
FTE ,SERVICE,COMM,,SAMART,#N/A
GLOBAL ,SERVICE,COMM,,SAMCO,#N/A
HMPRO ,SERVICE,COMM,,SAMTEL,#N/A
ILM ,SERVICE,COMM,,SANKO,#N/A
IT ,SERVICE,COMM,,SAPPE,AGRO
KAMART ,SERVICE,COMM,,SAT,#N/A
LOXLEY ,SERVICE,COMM,,SAUCE,AGRO
MAKRO ,SERVICE,COMM,,SAWAD,#N/A
MC ,SERVICE,COMM,,SAWANG,#N/A
MEGA ,SERVICE,COMM,,SC,#N/A
MIDA ,SERVICE,COMM,,SCB,#N/A
ROBINS ,SERVICE,COMM,,SCC,#N/A
RS ,SERVICE,COMM,,SCCC,#N/A
RSP ,SERVICE,COMM,,SCG,#N/A
SINGER ,SERVICE,COMM,,SCI,#N/A
SPC ,SERVICE,COMM,,SCN,#N/A
SPI ,SERVICE,COMM,,SCP,#N/A
AHC ,SERVICE,HELTH,,SDC,#N/A
BCH ,SERVICE,HELTH,,SE,#N/A
BDMS ,SERVICE,HELTH,,SE-ED,#N/A
BH ,SERVICE,HELTH,,SEAFCO,#N/A
CHG ,SERVICE,HELTH,,SEAOIL,#N/A
CMR ,SERVICE,HELTH,,SELIC,#N/A
EKH ,SERVICE,HELTH,,SENA,#N/A
KDH ,SERVICE,HELTH,,SF,#N/A
LPH ,SERVICE,HELTH,,SGF,#N/A
M-CHAI ,SERVICE,HELTH,,SGP,#N/A
NEW ,SERVICE,HELTH,,SHANG,#N/A
NTV ,SERVICE,HELTH,,SHREIT,#N/A
PR9 ,SERVICE,HELTH,,SIAM,#N/A
PRINC ,SERVICE,HELTH,,SIMAT,#N/A
RAM ,SERVICE,HELTH,,SINGER,#N/A
RJH ,SERVICE,HELTH,,SIRI,#N/A
RPH ,SERVICE,HELTH,,SIS,#N/A
SKR ,SERVICE,HELTH,,SISB,#N/A
SVH ,SERVICE,HELTH,,SITHAI,#N/A
THG ,SERVICE,HELTH,,SKE,#N/A
VIBHA ,SERVICE,HELTH,,SKN,#N/A
VIH ,SERVICE,HELTH,,SKR,#N/A
WPH ,SERVICE,HELTH,,SKY,#N/A
AMARIN ,SERVICE,MEDIA,,SLP,#N/A
AQUA ,SERVICE,MEDIA,,SMART,#N/A
AS ,SERVICE,MEDIA,,SMIT,#N/A
BEC ,SERVICE,MEDIA,,SMK,#N/A
EPCO ,SERVICE,MEDIA,,SMM,#N/A
FE ,SERVICE,MEDIA,,SMPC,#N/A
GPI ,SERVICE,MEDIA,,SMT,#N/A
